rank,city,count
1,Basel,1
2,Jena,1
3,Venezia,1
4,Piacenza,1
5,Heidelberg,1
6,Torino,1
7,Frankfurt an der Oder,1
8,Mons,1
9,Lyon,1
10,Madrid,1
11,Mexico City,1
12,Weimar,1
13,Leuven,1
14,s.l. (Germany),1
15,Alcalá de Henares,1
16,Douai,1
17,Genève,1
18,Leiden,1
19,Zürich,1
20,Augsburg,1
